0.00,0.00,0.74,332
0.00,2.00,0.56,282
0.00,4.00,0.38,385
0.00,6.00,0.40,310
0.00,8.00,0.35,253
0.00,10.00,0.17,257
0.00,12.00,-0.08,395
0.00,14.00,0.21,295
0.00,16.00,-0.07,305
0.00,18.00,0.10,299
0.00,20.00,0.21,338
0.00,22.00,-0.05,290
0.00,24.00,-0.02,399
0.00,26.00,0.27,281
0.00,28.00,0.08,330
0.00,30.00,0.34,324
0.00,32.00,0.57,296
0.00,34.00,0.80,385
0.00,36.00,0.67,383
0.00,38.00,0.87,387
0.00,40.00,0.80,398
0.00,42.00,0.97,292
0.00,44.00,0.98,254
0.00,46.00,0.74,347
0.00,48.00,0.73,270
0.00,50.00,0.75,302
0.00,52.00,0.55,294
0.00,54.00,0.76,269
0.00,56.00,0.56,389
0.00,58.00,0.54,268
0.00,60.00,0.29,268
0.00,62.00,0.39,268
0.00,64.00,0.35,396
0.00,66.00,0.45,308
0.00,68.00,0.27,271
0.00,70.00,0.43,389
0.00,72.00,0.39,343
0.00,74.00,0.64,374
0.00,76.00,0.68,284
0.00,78.00,0.68,288
0.00,80.00,0.91,284
0.00,82.00,1.10,365
0.00,84.00,1.29,342
0.00,86.00,1.34,315
0.00,88.00,1.63,354
0.00,90.00,1.66,325
0.00,92.00,1.81,250
0.00,94.00,1.52,356
0.00,96.00,1.35,369
0.00,98.00,1.50,394
0.00,100.00,1.54,378
0.00,102.00,1.66,297
0.00,104.00,1.37,318
0.00,106.00,1.59,285
0.00,108.00,1.76,350
0.00,110.00,1.50,325
0.00,112.00,1.45,303
0.00,114.00,1.75,317
0.00,116.00,1.68,393
0.00,118.00,1.40,289
0.00,120.00,1.48,256
0.00,122.00,1.36,318
0.00,124.00,1.54,272
0.00,126.00,1.40,280
0.00,128.00,1.42,331
0.00,130.00,1.16,347
0.00,132.00,1.04,294
0.00,134.00,0.82,343
0.00,136.00,0.63,293
0.00,138.00,0.51,359
0.00,140.00,0.39,385
0.00,142.00,0.57,336
0.00,144.00,0.67,388
0.00,146.00,0.42,341
0.00,148.00,0.24,350
0.00,150.00,0.49,341
0.00,152.00,0.32,383
0.00,154.00,0.08,390
0.00,156.00,-0.18,348
0.00,158.00,-0.41,364
0.00,160.00,-0.64,369
0.00,162.00,-0.48,399
